,city_name,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,Busselton,0,AU,1552575308,40,-33.64,115.35,64.0,11.77
1,Hermanus,0,ZA,1552574807,68,-34.42,19.24,84.99,13.0
2,Ikalamavony,80,MG,1552575342,70,-21.17,46.6,71.5,3.38
3,Taoudenni,0,ML,1552575344,15,22.68,-3.98,86.4,11.77
4,Dubrovnik,75,HR,1552573800,76,42.65,18.09,51.8,6.93
5,Meulaboh,80,ID,1552575348,100,4.14,96.13,77.89,3.71
6,Dikson,80,RU,1552575350,100,73.51,80.55,6.88,20.27
7,Kodiak,90,US,1552575215,100,39.95,-94.76,39.99,20.8
8,Chuy,88,UY,1552575355,89,-33.69,-53.46,72.72,11.43
9,Georgetown,40,GY,1552572000,70,6.8,-58.16,84.2,13.87
10,Lazaro Cardenas,75,MX,1552575306,42,28.39,-105.62,54.0,5.82
11,Port Alfred,80,ZA,1552575305,86,-33.59,26.89,72.0,5.06
12,Barrow,68,AR,1552575364,76,-38.31,-60.23,70.06,9.75
13,Wukari,8,NG,1552575366,37,7.87,9.78,101.47,4.61
14,Port Elizabeth,1,US,1552575368,53,39.31,-74.98,61.0,3.36
15,Necochea,68,AR,1552575153,72,-38.55,-58.74,70.0,8.99
16,Tuatapere,0,NZ,1552575007,92,-46.13,167.69,43.0,1.99
17,Gat,0,SN,1552573800,8,14.69,-16.54,95.0,17.22
18,Butaritari,88,KI,1552575377,100,3.07,172.79,79.42,10.42
19,San Quintin,68,PH,1552575380,92,17.54,120.52,70.87,2.71
20,Solnechnyy,0,RU,1552575382,64,50.72,136.64,8.59,2.37
21,Muli,0,IN,1552575384,26,22.62,71.45,74.2,8.08
22,Ilulissat,75,GL,1552571400,65,69.22,-51.1,3.2,3.36
23,Atar,0,MR,1552575388,12,20.52,-13.05,88.65,13.0
24,Coari,36,BR,1552575390,73,-4.09,-63.14,86.35,7.52
25,Yellowknife,20,CA,1552575295,76,62.45,-114.38,-4.01,6.93
26,Leningradskiy,32,RU,1552575395,46,69.38,178.42,-15.62,6.51
27,Rikitea,100,PF,1552575397,100,-23.12,-134.97,75.19,19.04
28,Thompson,90,CA,1552572000,68,55.74,-97.86,24.8,9.17
29,Bluff,32,AU,1552575401,82,-23.58,149.07,72.67,2.93
30,Caravelas,0,BR,1552575404,100,-17.73,-39.27,83.74,15.46
31,East London,40,ZA,1552572000,73,-33.02,27.91,71.6,4.7
32,Kirakira,24,SB,1552575408,98,-10.46,161.92,84.37,5.06
33,Hithadhoo,0,MV,1552575410,100,-0.6,73.08,84.01,1.59
34,Narsaq,75,GL,1552571400,79,60.91,-46.05,19.4,6.93
35,San Jeronimo,90,PE,1552572000,70,-13.65,-73.37,48.2,5.82
36,Linhares,0,BR,1552575417,50,-19.38,-40.06,94.23,10.2
37,Terskaya,90,RU,1552573800,93,43.72,44.72,37.4,13.42
38,Kapaa,75,US,1552574765,83,22.08,-159.32,71.6,6.93
39,Bontang,20,ID,1552575423,100,0.12,117.47,78.07,0.58
40,Sao Gotardo,20,BR,1552575426,88,-19.31,-46.05,84.37,2.93
41,Victoria,75,BN,1552572000,78,5.28,115.24,80.6,6.93
42,Khatanga,24,RU,1552575431,61,71.98,102.47,4.27,13.44
43,Qaanaaq,24,GL,1552575433,100,77.48,-69.36,-12.02,10.42
44,Mahebourg,40,MU,1552575244,66,-20.41,57.7,84.2,10.29
45,Constitucion,5,MX,1552575016,55,23.99,-104.67,51.01,2.24
46,Haines Junction,24,CA,1552575439,80,60.75,-137.51,20.83,2.59
47,Hede,75,SE,1552575353,82,60.45,15.49,41.0,4.7
48,Castro,40,CL,1552572000,81,-42.48,-73.76,53.6,11.41
49,Surovatikha,0,RU,1552573800,50,55.77,43.9,30.2,6.71
50,Dunedin,24,NZ,1552575223,88,-45.87,170.5,55.99,5.01
51,Key West,90,US,1552575207,96,47.93,-96.78,33.8,28.86
52,Kurilsk,80,RU,1552575452,99,45.23,147.88,27.85,14.12
53,Am Timan,0,TD,1552575455,11,11.04,20.28,105.16,9.64
54,Avarua,36,CK,1552573800,83,-21.21,-159.78,78.8,17.22
55,Port Blair,0,IN,1552575429,100,11.67,92.75,81.0,6.17
56,Rudnichnyy,32,RU,1552575461,69,59.7,60.29,24.79,8.08
57,Bubaque,0,GW,1552575463,65,11.28,-15.83,89.86,9.08
58,Maun,40,BW,1552572000,21,-19.99,23.42,95.0,10.29
59,Lebu,48,ET,1552575467,56,8.96,38.73,66.1,4.5
60,Kavieng,76,PG,1552575470,100,-2.57,150.8,79.02,9.64
61,Tougan,0,BF,1552575472,19,13.07,-3.07,101.02,6.06
62,Puerto Ayora,0,EC,1552574754,74,-0.74,-90.35,78.8,8.05
63,Port Shepstone,92,ZA,1552575476,99,-30.74,30.45,74.97,11.21
64,Yuncheng,0,CN,1552575478,45,35.03,111.0,37.21,3.6
65,Jamestown,0,AU,1552575482,83,-33.21,138.6,46.75,3.15
66,Ushuaia,0,AR,1552572000,76,-54.81,-68.31,51.8,3.36
67,Mataura,0,NZ,1552575007,92,-46.19,168.86,43.0,1.99
68,Longyearbyen,40,NO,1552575000,64,78.22,15.63,-0.41,2.37
69,Atuona,76,PF,1552575491,100,-9.8,-139.03,81.22,15.12
70,Mayumba,76,GA,1552575493,100,-3.44,10.65,81.27,7.96
71,Paracuru,75,BR,1552575600,88,-3.41,-39.03,81.0,10.29
72,Punta Arenas,75,CL,1552575187,81,-53.16,-70.91,51.8,14.99
73,Hamilton,75,BM,1552575090,59,32.3,-64.78,62.01,8.05
74,Upernavik,64,GL,1552575502,100,72.79,-56.15,-1.67,1.92
75,Tukan,80,RU,1552575504,76,53.84,57.45,24.7,8.41
76,Francistown,20,BW,1552572000,35,-21.17,27.5,89.6,13.87
77,Richards Bay,0,ZA,1552575509,56,-28.77,32.06,83.74,8.75
78,Cape Town,0,ZA,1552575190,51,-33.93,18.42,84.99,17.22
79,Deputatskiy,44,RU,1552575513,27,69.3,139.9,-19.94,2.71
80,Bure,8,NG,1552575515,14,10.52,10.33,100.75,13.44
81,Cockburn Town,80,TC,1552575517,100,21.46,-71.14,74.56,19.6
82,Lima,0,PE,1552575129,78,-12.06,-77.04,80.01,3.36
83,Pacific Grove,1,US,1552575521,93,36.62,-121.92,46.0,0.69
84,Miri,0,NG,1552575524,16,10.31,9.75,97.83,10.65
85,Sale,75,GB,1552575496,57,53.42,-2.32,53.01,21.92
86,Brae,20,GB,1552573200,75,60.4,-1.35,44.6,11.41
87,Kyzyl-Suu,36,KG,1552575530,100,42.34,78.0,32.35,5.06
88,Kaitangata,24,NZ,1552575414,84,-46.28,169.85,52.0,1.99
89,Pokhara,80,NP,1552575535,63,28.21,83.99,51.75,2.48
90,Baripada,88,IN,1552575501,97,21.93,86.73,71.14,3.6
91,Bahia Blanca,64,AR,1552575525,64,-38.72,-62.27,72.9,10.42
92,Nanortalik,0,GL,1552575541,100,60.14,-45.24,21.73,33.24
93,Quatre Cocos,40,MU,1552575244,66,-20.21,57.76,84.2,10.29
94,Ribeira Grande,20,PT,1552573800,59,38.52,-28.7,62.6,20.8
95,Grand Gaube,40,MU,1552575544,66,-20.01,57.66,84.2,10.29
96,Cherskiy,32,RU,1552575550,0,68.75,161.3,-28.58,2.48
97,Lagoa,0,PT,1552575340,34,37.14,-8.45,73.0,13.87
98,Airai,92,TL,1552575555,92,-8.93,125.41,69.61,1.14
99,Tuma,0,RU,1552575557,83,55.15,40.55,23.17,6.96
100,Petropavlovsk-Kamchatskiy,40,RU,1552572000,72,53.05,158.65,17.6,6.71
101,Albany,40,US,1552575280,74,42.65,-73.75,46.99,6.93
102,Saskylakh,0,RU,1552575564,32,71.97,114.09,-22.33,7.63
103,Norman Wells,75,CA,1552572000,83,65.28,-126.83,-4.01,5.82
104,Vaini,8,IN,1552575568,40,15.34,74.49,80.28,3.15
105,Sabha,0,LY,1552575570,25,27.03,14.43,72.22,6.51
106,Collierville,90,US,1552575480,78,35.04,-89.66,71.6,19.46
107,Hilo,90,US,1552575566,93,19.71,-155.08,66.2,4.7
108,Ponta do Sol,0,BR,1552575577,85,-20.63,-46.0,83.52,3.71
109,Arraial do Cabo,40,BR,1552572000,70,-22.97,-42.02,87.8,8.05
110,Karwar,0,IN,1552575474,43,14.8,74.13,82.12,2.59
111,Beringovskiy,76,RU,1552575583,90,63.05,179.32,7.15,24.52
112,Saint Anthony,75,US,1552575074,72,43.97,-111.68,21.99,3.36
113,Ismailia,40,EG,1552572000,28,30.6,32.27,68.0,23.04
114,Fare,92,PF,1552575590,100,-16.7,-151.02,80.86,13.56
115,Souillac,90,FR,1552575399,87,45.6,-0.6,52.0,21.92
116,New Norfolk,20,AU,1552575555,66,-42.78,147.06,55.99,6.93
117,Pisco,75,PE,1552572000,30,-13.71,-76.2,71.6,5.82
118,Odienne,0,CI,1552575310,17,9.51,-7.57,99.45,9.19
119,Saint-Georges,20,CA,1552574786,79,46.12,-70.67,36.0,3.0
120,Pokosnoye,92,RU,1552575607,80,55.53,101.05,33.61,9.53
121,Zima,88,RU,1552575613,94,53.93,102.05,33.7,6.73
122,Bethel,90,US,1552573680,92,60.79,-161.76,28.4,6.93
123,Carnarvon,76,ZA,1552575628,23,-30.97,22.13,84.28,6.4
124,Port Augusta,0,AU,1552575548,68,-32.49,137.76,68.0,10.29
125,Blackfoot,1,US,1552575407,79,43.19,-112.35,25.0,12.75
126,Mar del Plata,76,AR,1552575636,72,-46.43,-67.52,60.93,9.08
127,Rurrenabaque,40,BO,1552572000,94,-14.44,-67.53,78.8,3.04
128,Plougastel-Daoulas,90,FR,1552575487,93,48.37,-4.37,53.01,20.8
129,Touros,75,BR,1552572000,79,-5.2,-35.46,86.0,5.82
130,Pasighat,64,IN,1552575632,79,28.06,95.33,61.96,1.36
131,Ancud,40,CL,1552572000,81,-41.87,-73.83,53.6,11.41
132,Beloha,0,MG,1552575659,40,-25.17,45.06,83.52,16.58
133,Vostok,92,RU,1552575661,98,46.45,135.83,22.81,2.15
134,Egvekinot,76,RU,1552575664,63,66.32,-179.17,-4.64,7.18
135,Srednekolymsk,36,RU,1552575666,72,67.46,153.71,-11.03,2.48
136,Aktau,0,KZ,1552573800,56,43.65,51.16,42.8,13.42
137,Oranjemund,76,ZA,1552575671,92,-28.55,16.43,64.3,15.68
138,Bambous Virieux,40,MU,1552575544,66,-20.34,57.76,84.2,10.29
139,Tura,80,IN,1552575677,58,25.52,90.21,70.6,4.72
140,Nikolskoye,90,RU,1552575635,86,59.7,30.79,30.99,11.18
141,Goryachegorsk,64,RU,1552575682,72,55.41,88.92,35.77,6.06
142,Corowa,90,AU,1552575682,55,-36.0,146.39,64.0,5.82
143,Mandali,92,IQ,1552575687,44,33.75,45.55,64.8,26.87
144,Oak Ridge,1,US,1552575685,53,36.01,-84.27,71.6,8.05
145,Hasaki,0,JP,1552574976,48,35.73,140.83,39.2,5.82
146,Yar-Sale,0,RU,1552575695,68,66.83,70.83,7.42,15.57
147,Shunyi,0,CN,1552573800,21,40.13,116.65,51.8,20.13
148,Hille,75,DE,1552575640,93,52.34,8.75,46.0,23.04
149,Kruisfontein,0,ZA,1552575702,77,-34.0,24.73,70.15,6.06
150,Bredasdorp,40,ZA,1552575649,64,-34.53,20.04,77.0,11.41
151,Acajutla,0,SV,1552575620,70,13.59,-89.83,77.0,1.01
152,Yatou,75,CM,1552572000,59,3.63,9.81,93.2,6.93
153,Mvomero,40,TZ,1552572000,36,-6.3,37.45,91.4,11.41
154,Bambanglipuro,32,ID,1552575713,95,-7.95,110.28,74.29,2.48
155,San Cristobal,75,EC,1552574762,77,-0.39,-78.55,60.8,3.36
156,Pativilca,8,PE,1552575718,95,-10.7,-77.78,73.75,2.93
157,Luganville,80,VU,1552575720,100,-15.51,167.18,80.14,7.52
158,Vao,48,EE,1552575722,88,59.1,26.19,38.47,10.54
159,Tuktoyaktuk,5,CA,1552572000,68,69.44,-133.03,-18.41,13.87
160,Trelew,92,AR,1552575727,100,-43.25,-65.31,58.0,14.0
161,Yeppoon,68,AU,1552573800,88,-23.13,150.74,77.0,3.36
162,Rio Gallegos,40,AR,1552572000,87,-51.62,-69.22,51.8,2.15
163,Caririacu,40,BR,1552572000,62,-7.04,-39.28,86.0,2.24
164,Ozernovskiy,44,RU,1552575737,80,51.5,156.52,18.9,3.04
165,Luderitz,12,NA,1552575739,79,-26.65,15.16,67.36,15.57
166,Kawalu,76,ID,1552575742,96,-7.38,108.21,67.9,1.92
167,Dalbandin,20,PK,1552575744,48,28.9,64.41,56.2,0.58
168,Rudnya,0,RU,1552575746,87,50.8,44.56,24.25,4.38
169,Pevek,0,RU,1552575748,48,69.7,170.27,-29.71,3.49
170,North Bend,1,US,1552575705,93,43.41,-124.22,39.99,2.48
171,Khuzdar,8,PK,1552575644,58,27.8,66.62,48.64,2.71
172,Vila Velha,75,BR,1552575600,88,-3.71,-38.6,81.0,10.29
173,Nome,90,US,1552575749,72,30.04,-94.42,71.01,4.7
